Date	RELIANCE IS Equity	TCS IS Equity	BHARTI IS Equity	INFO IS Equity	HUVR IS Equity	ITC IS Equity	LT IS Equity	HDFCB IS Equity	ICICIBC IS Equity	KMB IS Equity	BAF IS Equity	SUNP IS Equity	TTAN IS Equity	SBIN IS Equity	MSIL IS Equity	MM IS Equity	AXSB IS Equity	HCLT IS Equity	UTCEM IS Equity	WPRO IS Equity	TATA IS Equity	APNT IS Equity	INDIGO IS Equity	COAL IS Equity	JSTL IS Equity	SBILIFE IS Equity	BJAUT IS Equity	DRRD IS Equity	ADSEZ IS Equity	GRASIM IS Equity	TMPV IS Equity	NIFTY Index
44294	913.4629946	3317.35	532.993053	1439.85	2372.510402	201.7372723	1419.15	716.4	576.7	356.65	502.95	614.25	1571.3	355.6	6826.85	795.15	681.6	1037.5	6971.25	221.05	91.84	2650.65	1640.75	131.65	614.1	908.5	3649.8	937.81	823	1442.066712	190.0568534	14873.8
44295	902.8495417	3322.25	535.2015878	1441.05	2437.58486	201.5953703	1404.1	710.875	566.2	359.85	487.23	636.75	1592	353	6827.1	791.15	668.2	1045.4	6825.85	225.05	89.95	2630.8	1646.95	129.5	621	910.1	3651.3	952.06	823.6	1434.2976	192.6296886	14834.85
44296	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44297	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44298	870.55367	3246.55	512.821769	1425.75	2423.80207	194.2164689	1345.15	683.525	538.55	348.5	451.1	619.35	1510.45	328.85	6520.6	751.5	635.6	1009.4	6509.4	216.3	85.155	2602.2	1593.8	124.7	604.15	872.45	3541	999.39	744.65	1371.148664	173.4696332	14310.8
44299	879.9600134	3104.05	526.2692917	1397.15	2416.319984	197.4329131	1373.7	700.175	560.6	355.17	472.875	627.35	1530.6	341	6815.8	811.25	661	983.4	6604.45	209.475	87.9	2570.7	1605.75	127.95	630.35	897.8	3602.45	955.46	731.05	1386.686888	183.3372131	14504.8
44300	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44301	885.6539259	3218.95	529.4103189	1360.75	2422.473015	195.5408871	1374.65	715.05	575.2	354.65	466.03	633.25	1538.55	342.7	6644.25	805.1	668.85	991.9	6539.3	215.35	89.82	2587.7	1609.85	128.25	629.1	908.7	3597.5	969.11	750.35	1343.90697	183.7307055	14581.45
44302	880.0966673	3195.15	530.7845183	1353.75	2420.750167	196.7234034	1359.15	714.325	566.95	352.82	461.66	646.05	1549.05	339.9	6648.1	821.65	669.2	1012.75	6715.2	234.6	89.025	2663.7	1582.9	127.85	619.4	914.2	3634.65	978.65	755.5	1347.841328	187.66563	14617.85
44303	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44304	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44305	866.2490721	3161.8	516.748053	1362.55	2398.845375	194.5002728	1310.45	706.2	559.75	340.15	447.96	640.65	1518.7	331.15	6511.75	794.95	648.15	994.6	6509.75	236.375	88.805	2571.9	1527.9	124.6	615.8	906.25	3515.55	993.62	720.95	1319.454188	182.4594222	14359.45
44306	865.99854	3144.55	520.4289442	1351.35	2360.253563	192.5609462	1331.5	695.7	559.1	339.54	461.365	645.15	1522.9	329.5	6646.65	811.15	651.75	961.3	6200.85	235.05	89.4	2553.65	1554.3	124.5	620.6	898.95	3600.9	1031.35	720.45	1286.784076	180.4314227	14296.4
44307	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44308	868.3899832	3118.8	521.0669654	1351.1	2312.949059	194.7840767	1336.8	711.25	579.2	347.21	468.87	639.95	1480.85	336.65	6650.1	799.7	658.7	961.9	6092.3	243.325	92.14	2511.25	1541.3	125.05	640.75	914.4	3681.4	1039.97	737.8	1295.051208	178.3126172	14406.15
44309	867.4561816	3109.5	512.9690046	1333.8	2271.945259	194.2637696	1322.9	707.075	569.95	346.84	466.78	637.95	1461.45	336.45	6676.1	777.9	671.35	955.65	6067.9	237.85	92.56	2517.95	1541.85	126.15	635.4	922.85	3672.5	1013.34	725.35	1273.038724	177.979662	14341.35
44310	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44311	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44312	882.7158671	3100.8	517.8277811	1343.55	2324.024515	194.2164689	1335.9	702.4	591.1	351.93	473.655	634.7	1479.85	344.3	6638.9	780.5	700.45	928.8	6275.9	240.15	94.075	2557.9	1573.05	126.95	655.8	942.5	3738.85	1013.34	730.75	1307.153094	178.8271842	14485
44313	905.8559275	3132	524.4533853	1348.5	2342.926627	194.3110702	1380.65	719.35	598.75	350.06	486.505	639.25	1495.1	353.05	6568.75	778.4	699.55	928.85	6326.8	242.525	97.775	2574.35	1640.5	127.5	665.9	928.75	3785.5	1011.45	749.15	1325.928448	182.5199595	14653.05
44314	909.7961149	3124.1	534.2690953	1356	2369.212377	194.4056715	1375.9	738.4	621.35	362.29	528.09	643.4	1508.85	363.4	6573.8	782.1	708.15	923.8	6360.8	244.65	97.14	2614.55	1647.55	128.5	662.65	930.4	3889.75	1008.89	746.25	1335.839046	185.1836007	14864.55
44315	921.9810877	3115.25	530.8826754	1356.35	2370.246086	193.2704559	1358.65	736.25	621.45	361	548.485	644.5	1506.8	359.4	6565.65	774.6	719.4	909.55	6382.45	244.925	103.135	2613.45	1655.85	128.05	726.5	928.2	3836.45	1020.46	746.75	1345.351228	182.7621087	14894.9
